MATR_ALUNO;QUADRIMESTRE
11000914;2020.1 QS2
11002515;2020.1 QS2
11003116;2020.1 QS2
11003614;2020.1 QS2
11006111;2020.1 QS2
11006214;2020.1 QS2
11007812;2020.1 QS2
11011916;2020.1 QS2
11012914;2020.1 QS2
11013011;2020.1 QS2
11013413;2020.1 QS2
11013515;2020.1 QS2
11013913;2020.1 QS2
11014014;2020.1 QS2
11017212;2020.1 QS2
11017312;2020.1 QS2
11019014;2020.1 QS2
11020413;2020.1 QS2
11020811;2020.1 QS2
11020916;2020.1 QS2
11022015;2020.1 QS2
11022115;2020.1 QS2
11022315;2020.1 QS2
11023914;2020.1 QS2
11024215;2020.1 QS2
11024914;2020.1 QS2
11025508;2020.1 QS2
11025815;2020.1 QS2
11026013;2020.1 QS2
11026716;2020.1 QS2
11027713;2020.1 QS2
11029006;2020.1 QS2
11030214;2020.1 QS2
11030314;2020.1 QS2
11031315;2020.1 QS2
11034115;2020.1 QS2
11035215;2020.1 QS2
11035416;2020.1 QS2
11037014;2020.1 QS2
11039210;2020.1 QS2
11040112;2020.1 QS2
11040113;2020.1 QS2
11040411;2020.1 QS2
11040514;2020.1 QS2
11041316;2020.1 QS2
11042807;2020.1 QS2
11043616;2020.1 QS2
11044213;2020.1 QS2
11044312;2020.1 QS2
11045512;2020.1 QS2
11046415;2020.1 QS2
11047312;2020.1 QS2
11047911;2020.1 QS2
11048411;2020.1 QS2
11049112;2020.1 QS2
11049710;2020.1 QS2
11049715;2020.1 QS2
11052912;2020.1 QS2
11053915;2020.1 QS2
11054410;2020.1 QS2
11054516;2020.1 QS2
11056312;2020.1 QS2
11058011;2020.1 QS2
11059116;2020.1 QS2
11060814;2020.1 QS2
11061115;2020.1 QS2
11062011;2020.1 QS2
11063713;2020.1 QS2
11063716;2020.1 QS2
11066313;2020.1 QS2
11068614;2020.1 QS2
11069316;2020.1 QS2
11071216;2020.1 QS2
11071615;2020.1 QS2
11072813;2020.1 QS2
11073515;2020.1 QS2
11074912;2020.1 QS2
11075313;2020.1 QS2
11075812;2020.1 QS2
11076415;2020.1 QS2
11076816;2020.1 QS2
11078211;2020.1 QS2
11078313;2020.1 QS2
11080416;2020.1 QS2
11080511;2020.1 QS2
11080616;2020.1 QS2
