RA;QUADRIMESTRE
11001214;2022.2
11002215;2022.2
11005014;2022.2
11005813;2022.2
11005913;2022.2
11005914;2022.2
11006111;2022.2
11006316;2022.2
11006616;2022.2
11006715;2022.2
11006810;2022.2
11007215;2022.2
11007812;2022.2
11008916;2022.2
11009115;2022.2
11009412;2022.2
11009415;2022.2
11009513;2022.2
11009514;2022.2
11010216;2022.2
11011215;2022.2
11011216;2022.2
11012606;2022.2
11013014;2022.2
11013112;2022.2
11013216;2022.2
11013315;2022.2
11014410;2022.2
11015713;2022.2
11015912;2022.2
11016206;2022.2
11016314;2022.2
11016716;2022.2
11017514;2022.2
11018616;2022.2
11018813;2022.2
11019715;2022.2
11019914;2022.2
11020014;2022.2
11020116;2022.2
11021315;2022.2
11021513;2022.2
11021916;2022.2
11022616;2022.2
11022713;2022.2
11022816;2022.2
11023214;2022.2
11024516;2022.2
11025616;2022.2
11025815;2022.2
11026016;2022.2
11027316;2022.2
11027411;2022.2
11028013;2022.2
11028714;2022.2
11028912;2022.2
11030614;2022.2
11030615;2022.2
11031115;2022.2
11031315;2022.2
11032016;2022.2
11032311;2022.2
11033915;2022.2
11034215;2022.2
11034716;2022.2
11034815;2022.2
11035615;2022.2
11035814;2022.2
11036116;2022.2
11036214;2022.2
11036515;2022.2
11036614;2022.2
11036615;2022.2
11036712;2022.2
11036914;2022.2
11037311;2022.2
11037315;2022.2
11037616;2022.2
11037715;2022.2
11038214;2022.2
11038215;2022.2
11038715;2022.2
11038816;2022.2
11039016;2022.2
11039616;2022.2
11039914;2022.2
11040112;2022.2
11040411;2022.2
11041515;2022.2
11042316;2022.2
11044212;2022.2
11044315;2022.2
11044712;2022.2
11044715;2022.2
11044814;2022.2
11045416;2022.2
11045512;2022.2
11046108;2022.2
11046415;2022.2
11046715;2022.2
11047415;2022.2
11047716;2022.2
11048115;2022.2
11048816;2022.2
11049315;2022.2
11049412;2022.2
11050010;2022.2
11050016;2022.2
11050116;2022.2
11050712;2022.2
11051212;2022.2
11051815;2022.2
11051915;2022.2
11052015;2022.2
11052916;2022.2
11054014;2022.2
11054713;2022.2
11055015;2022.2
11055614;2022.2
11055615;2022.2
11056215;2022.2
11057716;2022.2
11058216;2022.2
11058315;2022.2
11059313;2022.2
11059715;2022.2
11060016;2022.2
11061115;2022.2
11061215;2022.2
11061315;2022.2
11061613;2022.2
11062312;2022.2
11062512;2022.2
11062816;2022.2
11063314;2022.2
11063716;2022.2
11064012;2022.2
11065214;2022.2
11065615;2022.2
11067415;2022.2
11067914;2022.2
11068311;2022.2
11068413;2022.2
11069613;2022.2
11069916;2022.2
11072416;2022.2
11072913;2022.2
11073315;2022.2
11073712;2022.2
11073816;2022.2
11074012;2022.2
11074112;2022.2
11074114;2022.2
11074315;2022.2
11074514;2022.2
11075015;2022.2
11075113;2022.2
11075213;2022.2
11075610;2022.2
11076313;2022.2
11076513;2022.2
11076711;2022.2
11078113;2022.2
11078814;2022.2
11078816;2022.2
11079512;2022.2
11079911;2022.2
11080511;2022.2
11081916;2022.2
11082215;2022.2
11082415;2022.2
11082814;2022.2
11082911;2022.2
11083209;2022.2
11083316;2022.2
11084009;2022.2
11084016;2022.2
11084115;2022.2
11084812;2022.2
11084816;2022.2
11085213;2022.2
11085610;2022.2
11085816;2022.2
11086015;2022.2
11086312;2022.2
11086616;2022.2
11087114;2022.2
11087116;2022.2
11087212;2022.2
11087415;2022.2
11087611;2022.2
11087716;2022.2
11090214;2022.2
11090714;2022.2
11090915;2022.2
11090916;2022.2
11091915;2022.2
11092314;2022.2
11093713;2022.2
11094016;2022.2
11094116;2022.2
11095316;2022.2
11095816;2022.2
11097013;2022.2
11097516;2022.2
11097615;2022.2
11098211;2022.2
11098514;2022.2
11100013;2022.2
11101916;2022.2
11102116;2022.2
11102313;2022.2
11104016;2022.2
11104416;2022.2
11105715;2022.2
11106014;2022.2
11106212;2022.2
11107314;2022.2
11107414;2022.2
11107416;2022.2
11107912;2022.2
11108316;2022.2
11108914;2022.2
11109710;2022.2
11109714;2022.2
