MATR_ALUNO;QUADRIMESTRE
21078412;QS 2022.1
21081815;QS 2022.1
21082316;QS 2022.1
21085114;QS 2022.1
21085414;QS 2022.1
21085514;QS 2022.1
21086813;QS 2022.1
21087014;QS 2022.1
21089015;QS 2022.1
21089016;QS 2022.1
21089616;QS 2022.1
21090415;QS 2022.1
21092815;QS 2022.1
21093215;QS 2022.1
11201720206;QS 2022.1
11201720322;QS 2022.1
11201720354;QS 2022.1
11201720538;QS 2022.1
11201720554;QS 2022.1
11201720672;QS 2022.1
11201720692;QS 2022.1
11201720698;QS 2022.1
11201720754;QS 2022.1
11201720792;QS 2022.1
11201720816;QS 2022.1
11201721122;QS 2022.1
11201721128;QS 2022.1
11201721144;QS 2022.1
11201721192;QS 2022.1
11201721204;QS 2022.1
11201721240;QS 2022.1
11201721263;QS 2022.1
11201721285;QS 2022.1
11201721365;QS 2022.1
11201721414;QS 2022.1
11201721461;QS 2022.1
11201721510;QS 2022.1
11201721568;QS 2022.1
11201721636;QS 2022.1
11201721648;QS 2022.1
11201721660;QS 2022.1
11201721790;QS 2022.1
11201721797;QS 2022.1
11201721812;QS 2022.1
11201721999;QS 2022.1
11201722012;QS 2022.1
11201722038;QS 2022.1
11201722057;QS 2022.1
11201722120;QS 2022.1
11201722135;QS 2022.1
11201722139;QS 2022.1
11201722141;QS 2022.1
11201722158;QS 2022.1
11201722163;QS 2022.1
11201722172;QS 2022.1
11201722200;QS 2022.1
11201722241;QS 2022.1
11201722281;QS 2022.1
11201722292;QS 2022.1
11201722344;QS 2022.1
11201722359;QS 2022.1
11201722375;QS 2022.1
11201722510;QS 2022.1
11201722516;QS 2022.1
11201722522;QS 2022.1
11201722553;QS 2022.1
11201722585;QS 2022.1
11201722603;QS 2022.1
11201722631;QS 2022.1
11201722660;QS 2022.1
11201722672;QS 2022.1
11201722708;QS 2022.1
11201722715;QS 2022.1
11201722763;QS 2022.1
11201722802;QS 2022.1
11201722828;QS 2022.1
11201722898;QS 2022.1
11201722984;QS 2022.1
11201722999;QS 2022.1
11201723028;QS 2022.1
11201723032;QS 2022.1
11201723068;QS 2022.1
11201723072;QS 2022.1
11201723105;QS 2022.1
11201723112;QS 2022.1
11201810031;QS 2022.1
11201810041;QS 2022.1
11201810073;QS 2022.1
11201810176;QS 2022.1
11201810313;QS 2022.1
11201810335;QS 2022.1
11201810338;QS 2022.1
11201810495;QS 2022.1
11201810623;QS 2022.1
11201810624;QS 2022.1
11201811096;QS 2022.1
11201811142;QS 2022.1
11201811424;QS 2022.1
11201811432;QS 2022.1
11201811471;QS 2022.1
11201811547;QS 2022.1
11201811581;QS 2022.1
11201811590;QS 2022.1
11201811630;QS 2022.1
11201811704;QS 2022.1
11201811714;QS 2022.1
11201811719;QS 2022.1
11201811736;QS 2022.1
11201811791;QS 2022.1
11201811822;QS 2022.1
11201811880;QS 2022.1
11201811963;QS 2022.1
11201811984;QS 2022.1
11201812001;QS 2022.1
11201812049;QS 2022.1
11201812109;QS 2022.1
11201812180;QS 2022.1
11201812247;QS 2022.1
11201812270;QS 2022.1
11201812285;QS 2022.1
11201812347;QS 2022.1
11201812365;QS 2022.1
11201822441;QS 2022.1
11201822460;QS 2022.1
11201822467;QS 2022.1
11201822491;QS 2022.1
11201822511;QS 2022.1
11201822541;QS 2022.1
11201920104;QS 2022.1
11201920164;QS 2022.1
11201920388;QS 2022.1
11201920425;QS 2022.1
11201920465;QS 2022.1
11201920473;QS 2022.1
11201920539;QS 2022.1
11201920543;QS 2022.1
11201920619;QS 2022.1
11201920637;QS 2022.1
11201920670;QS 2022.1
11201920715;QS 2022.1
11201920726;QS 2022.1
11201920749;QS 2022.1
11201920785;QS 2022.1
