MATR_ALUNO;QUADRIMESTRE
21064416;QS 2021.3
11201722755;QS 2021.3
11201811176;QS 2021.3
11201922237;QS 2021.3
11202130506;QS 2021.3
11109316;QS 2021.3
21018511;QS 2021.3
11202131859;QS 2021.3
11202021986;QS 2021.3
11202020495;QS 2021.3
11106812;QS 2021.3
11090115;QS 2021.3
21053513;QS 2021.3
11201921710;QS 2021.3
11202131433;QS 2021.3
11201921475;QS 2021.3
11201810772;QS 2021.3
21031515;QS 2021.3
21069315;QS 2021.3
11037415;QS 2021.3
11033215;QS 2021.3
11202020963;QS 2021.3
11202131399;QS 2021.3
11202020655;QS 2021.3
11201920996;QS 2021.3
11201720336;QS 2021.3
21052015;QS 2021.3
21041015;QS 2021.3
11201920992;QS 2021.3
11021913;QS 2021.3
11201921185;QS 2021.3
21062516;QS 2021.3
11082215;QS 2021.3
11202022005;QS 2021.3
11202131755;QS 2021.3
11018212;QS 2021.3
11070812;QS 2021.3
11202021101;QS 2021.3
11201811726;QS 2021.3
11202131940;QS 2021.3
11202131426;QS 2021.3
11202131749;QS 2021.3
11014815;QS 2021.3
11112616;QS 2021.3
11201920485;QS 2021.3
11202020940;QS 2021.3
11021614;QS 2021.3
11087215;QS 2021.3
11061315;QS 2021.3
11030312;QS 2021.3
11201722279;QS 2021.3
11202021386;QS 2021.3
11202020605;QS 2021.3
11042015;QS 2021.3
11076416;QS 2021.3
11202021789;QS 2021.3
11077013;QS 2021.3
11201812206;QS 2021.3
11079214;QS 2021.3
11202130693;QS 2021.3
11005815;QS 2021.3
21080714;QS 2021.3
11201810051;QS 2021.3
21053114;QS 2021.3
11201721346;QS 2021.3
11201810709;QS 2021.3
11083516;QS 2021.3
11104015;QS 2021.3
11054013;QS 2021.3
11201810671;QS 2021.3
11202020892;QS 2021.3
11202021504;QS 2021.3
11202020092;QS 2021.3
11201720866;QS 2021.3
11201810970;QS 2021.3
11202020721;QS 2021.3
21051416;QS 2021.3
11202111084;QS 2021.3
21043615;QS 2021.3
11201920575;QS 2021.3
11043111;QS 2021.3
11202130416;QS 2021.3
21001814;QS 2021.3
11201722709;QS 2021.3
11202021157;QS 2021.3
11067212;QS 2021.3
11044814;QS 2021.3
21014510;QS 2021.3
21072112;QS 2021.3
11202131053;QS 2021.3
21069015;QS 2021.3
21085514;QS 2021.3
11202020699;QS 2021.3
11202022142;QS 2021.3
11201822457;QS 2021.3
11202020882;QS 2021.3
11040411;QS 2021.3
21082913;QS 2021.3
11202130852;QS 2021.3
11201811556;QS 2021.3
21010716;QS 2021.3
11117810;QS 2021.3
11019411;QS 2021.3
11201811325;QS 2021.3
21085316;QS 2021.3
11066114;QS 2021.3
21073815;QS 2021.3
11202020320;QS 2021.3
11201810515;QS 2021.3
11009712;QS 2021.3
11201811296;QS 2021.3
11202021545;QS 2021.3
11100016;QS 2021.3
21033911;QS 2021.3
21012216;QS 2021.3
11126110;QS 2021.3
11201932468;QS 2021.3
21044415;QS 2021.3
11201722943;QS 2021.3
21091015;QS 2021.3
11201811313;QS 2021.3
11201811727;QS 2021.3
11201722016;QS 2021.3
21007715;QS 2021.3
21013916;QS 2021.3
21072516;QS 2021.3
21072415;QS 2021.3
11056216;QS 2021.3
11201721965;QS 2021.3
21050515;QS 2021.3
11202131224;QS 2021.3
11029216;QS 2021.3
11087611;QS 2021.3
11201811371;QS 2021.3
11028713;QS 2021.3
11201932585;QS 2021.3
11040514;QS 2021.3
11202130970;QS 2021.3
11201811410;QS 2021.3
11202020642;QS 2021.3
21046715;QS 2021.3
11201810283;QS 2021.3
21031316;QS 2021.3
11112215;QS 2021.3
11096316;QS 2021.3
11019312;QS 2021.3
11201920313;QS 2021.3
21059715;QS 2021.3
21042013;QS 2021.3
11202021202;QS 2021.3
11202130064;QS 2021.3
21042512;QS 2021.3
11202021249;QS 2021.3
11201722790;QS 2021.3
11056116;QS 2021.3
11118416;QS 2021.3
11202020194;QS 2021.3
11201720558;QS 2021.3
11065011;QS 2021.3
11201922209;QS 2021.3
21068314;QS 2021.3
21047313;QS 2021.3
